fechas,valor
02/11/2017,18
01/11/2017,18
31/10/2017,18
30/10/2017,18
27/10/2017,18
26/10/2017,18
25/10/2017,18
24/10/2017,18
23/10/2017,18
20/10/2017,18
19/10/2017,18
18/10/2017,18
17/10/2017,18
13/10/2017,18
12/10/2017,17
11/10/2017,17
10/10/2017,17
09/10/2017,17
06/10/2017,17
05/10/2017,17
04/10/2017,17
03/10/2017,18
02/10/2017,18
29/09/2017,18
28/09/2017,18
27/09/2017,18
26/09/2017,18
25/09/2017,18
22/09/2017,18
21/09/2017,18
20/09/2017,18
19/09/2017,18
18/09/2017,18
15/09/2017,17
14/09/2017,17
13/09/2017,17
12/09/2017,17
11/09/2017,18
08/09/2017,17
07/09/2017,17
06/09/2017,18
05/09/2017,18
04/09/2017,18
01/09/2017,18
31/08/2017,18
30/08/2017,18
29/08/2017,18
28/08/2017,18
25/08/2017,18
24/08/2017,18
23/08/2017,18
22/08/2017,18
18/08/2017,18
17/08/2017,18
16/08/2017,18
15/08/2017,18
14/08/2017,18
11/08/2017,18
10/08/2017,18
09/08/2017,18
08/08/2017,18
07/08/2017,18
04/08/2017,18
03/08/2017,18
02/08/2017,18
01/08/2017,18
31/07/2017,18
28/07/2017,18
27/07/2017,18
26/07/2017,18
25/07/2017,18
24/07/2017,18
21/07/2017,18
20/07/2017,17
19/07/2017,17
18/07/2017,17
17/07/2017,17
14/07/2017,17
13/07/2017,17
12/07/2017,17
11/07/2017,16
10/07/2017,17
07/07/2017,17
06/07/2017,17
05/07/2017,17
04/07/2017,17
03/07/2017,17
30/06/2017,16
29/06/2017,16
28/06/2017,16
27/06/2017,16
26/06/2017,16
23/06/2017,16
22/06/2017,16
21/06/2017,16
19/06/2017,16
16/06/2017,16
15/06/2017,16
14/06/2017,16
13/06/2017,16
12/06/2017,16
09/06/2017,16
08/06/2017,16
07/06/2017,16
06/06/2017,16
05/06/2017,16
02/06/2017,16
01/06/2017,16
31/05/2017,16
30/05/2017,16
29/05/2017,16
26/05/2017,16
24/05/2017,16
23/05/2017,16
22/05/2017,16
19/05/2017,16
18/05/2017,16
17/05/2017,16
16/05/2017,16
15/05/2017,16
12/05/2017,16
11/05/2017,16
10/05/2017,15
09/05/2017,16
08/05/2017,16
05/05/2017,16
04/05/2017,16
03/05/2017,15
02/05/2017,16
28/04/2017,16
27/04/2017,16
26/04/2017,16
25/04/2017,16
24/04/2017,16
21/04/2017,16
20/04/2017,16
19/04/2017,16
18/04/2017,15
17/04/2017,16
12/04/2017,15
11/04/2017,15
10/04/2017,15
07/04/2017,15
06/04/2017,15
05/04/2017,15
04/04/2017,15
03/04/2017,16
31/03/2017,16
30/03/2017,15
29/03/2017,16
28/03/2017,16
27/03/2017,16
23/03/2017,16
22/03/2017,16
21/03/2017,16
20/03/2017,16
17/03/2017,16
16/03/2017,16
15/03/2017,16
14/03/2017,16
13/03/2017,16
10/03/2017,16
09/03/2017,16
08/03/2017,16
07/03/2017,16
